1b,Measure Ten Channel Change Time,20.2131,PASS,2016-06-01 16:51:19
3.1,Menu Launch Time,0.9657000000000001,PASS,2016-06-01 17:58:13
3.1,Menu Launch Time,1.4985000000000002,PASS,2016-06-01 18:08:53
3.2a,GuideLaunchTimeMsrmentWithoutPIP,1.7316,PASS,2016-06-01 18:54:45
3.2a,GuideLaunchTimeMsrmentWithoutPIP,1.4652,PASS,2016-06-01 19:06:21
3.2a,GuideLaunchTimeMsrmentWithoutPIP,1.998,PASS,2016-06-01 20:01:57
3.2a,GuideLaunchTimeMsrmentWithoutPIP,1.5651,PASS,2016-06-01 20:12:45
3.2a,GuideLaunchTimeMsrmentWithoutPIP,1.3653,PASS,2016-06-01 20:21:52
3.2a,GuideLaunchTimeMsrmentWithoutPIP,1.4319,PASS,2016-06-01 20:25:08
3.2,Guide Launch,5.7276,PASS,2016-06-01 20:34:09
3.2,Guide Launch,1.2987,PASS,2016-06-01 20:37:36
3.2,Guide Launch,0,FAIL,2016-06-01 21:13:20
3.2,Guide Launch,0,FAIL,2016-06-01 21:19:14
3.1a,Menu Launch Time,0.8991000000000001,PASS,2016-06-03 22:13:50
3.1,Menu Launch Time,0.0,FAIL,2016-06-03 22:17:42
3.2a,GuideLaunchTimeMsrmentWithoutPIP,0,FAIL,2016-06-03 22:21:51
4a,VOD Launch Time,0.0,FAIL,2016-06-03 22:27:35
4b,VOD Launch Without Barker CH Display Time,0.0,FAIL,2016-06-03 22:32:49
4c,VOD View Trailer Time,1.3653000000000002,PASS,2016-06-03 22:34:59
6c,Menu Launch And Navigation Without VOD Poster,2.4975,PASS,2016-06-03 22:39:11
3.1a,Menu Launch Time,0.0,FAIL,2016-06-03 22:42:20
3.1,Menu Launch Time,0.0,FAIL,2016-06-03 22:45:28
3.2a,GuideLaunchTimeMsrmentWithoutPIP,0,FAIL,2016-06-03 22:48:37
4a,VOD Launch Time,0.0,FAIL,2016-06-03 22:52:40
4b,VOD Launch Without Barker CH Display Time,0.0,FAIL,2016-06-03 22:56:43
4c,VOD View Trailer Time,1.8315000000000001,PASS,2016-06-03 22:58:50
6c,Menu Launch And Navigation Without VOD Poster,2.7306,PASS,2016-06-03 23:03:00
